episode,reward,arrivals,steps,deadlocks,arrival_rate
1,137.85,5,95,32,1.0
2,147.68,5,95,30,1.0
3,136.69,5,95,31,1.0
4,124.17,5,95,34,1.0
5,126.7,5,95,34,1.0
6,188.17,5,95,22,1.0
7,151.29,5,95,31,1.0
8,139.73,5,95,31,1.0
9,119.08,5,95,35,1.0
10,133.98,5,95,32,1.0
11,194.69,5,95,20,1.0
12,186.16,5,95,21,1.0
13,181.02,5,95,24,1.0
14,143.16,5,95,31,1.0
15,192.91,5,95,21,1.0
16,301.39,5,95,0,1.0
17,288.82,5,95,1,1.0
18,287.11,5,95,2,1.0
19,232.91,5,95,12,1.0
20,204.68,5,95,20,1.0
21,144.19,5,95,32,1.0
22,188.08,5,95,21,1.0
23,111.7,5,95,36,1.0
24,245.87,5,95,10,1.0
25,200.38,5,95,21,1.0
26,280.61,5,95,4,1.0
27,193.05,5,95,20,1.0
28,145.57,5,95,32,1.0
29,140.6,5,95,31,1.0
30,192.98,5,95,21,1.0
31,193.56,5,95,22,1.0
32,199.44,5,95,22,1.0
33,195.14,5,95,21,1.0
34,136.5,5,95,34,1.0
35,144.23,5,95,32,1.0
36,287.84,5,95,3,1.0
37,211.61,5,95,17,1.0
38,198.17,5,95,21,1.0
39,297.89,5,95,1,1.0
40,85.82,5,95,45,1.0
41,282.36,5,95,3,1.0
42,281.92,5,95,4,1.0
43,287.46,5,95,4,1.0
44,196.22,5,95,21,1.0
45,204.11,5,95,21,1.0
46,288.66,5,95,4,1.0
47,194.93,5,95,21,1.0
48,300.66,5,95,2,1.0
49,182.94,5,95,24,1.0
50,297.8,5,95,1,1.0
51,289.45,5,95,4,1.0
52,280.94,5,95,5,1.0
53,201.72,5,95,22,1.0
54,206.18,5,95,21,1.0
55,304.04,5,95,1,1.0
56,307.52,5,95,1,1.0
57,281.9,5,95,5,1.0
58,285.66,5,95,4,1.0
59,205.2,5,95,21,1.0
60,289.17,5,95,4,1.0
